Commanded I,Weight,torque_real
1.1124999523162842,7.1,0.029910914599895477
1.475000023841858,12.7,0.039806950837373734
1.7999999523162842,18.1,0.049146804958581924
2.1624999046325684,23.7,0.06782524287700653
2.5,30.4,0.0698193609714508
2.8499999046325684,37.6,0.08141335099935532
3.200000047683716,44.3,0.09322503954172134
3.5625,51.8,0.09951072186231613
3.9124999046325684,64.1,0.11132391542196274
4.275000095367432,70.6,0.1126728281378746
4.637499809265137,76.7,0.12577810883522034
4.987500190734863,83.0,0.13350529968738556
5.3125,89.4,0.15262041985988617
5.6875,95.5,0.1610928475856781
6.074999809265137,100.8,0.17594580352306366
6.425000190734863,112.2,0.18047486245632172
6.787499904632568,118.0,0.18646548688411713
7.162499904632568,123.8,0.20121008157730103
7.512499809265137,129.8,0.21098163723945618
7.862500190734863,135.7,0.22032380104064941
8.212499618530273,140.6,0.2286318838596344
8.574999809265137,144.4,0.23277844488620758
8.912500381469727,149.1,0.24712300300598145
9.274999618530273,159.9,0.2595706880092621
9.625,165.6,0.2668471336364746
9.975000381469727,171.0,0.2808982729911804
10.337499618530273,176.3,0.28393879532814026
10.699999809265137,181.5,0.29807180166244507
11.050000190734863,186.6,0.3051941394805908
11.412500381469727,192.0,0.311590313911438
11.762499809265137,197.6,0.3234480917453766
12.112500190734863,207.2,0.33383750915527344
12.5,212.4,0.34225785732269287
12.887499809265137,217.7,0.351877361536026
13.237500190734863,223.8,0.351346492767334
13.600000381469727,228.8,0.363699734210968
13.949999809265137,233.4,0.37512484192848206
14.287500381469727,238.0,0.38152629137039185
14.649999618530273,243.1,0.392004132270813
14.987500190734863,253.6,0.3989968001842499
15.324999809265137,258.2,0.40567341446876526
15.699999809265137,263.0,0.41570258140563965
16.037500381469727,268.0,0.42234620451927185
16.387500762939453,273.4,0.4311310946941376
16.75,279.0,0.43785560131073
17.112499237060547,284.2,0.4487301707267761
17.487499237060547,295.8,0.4552745819091797
17.837499618530273,301.1,0.46159714460372925
18.174999237060547,306.7,0.4714008867740631
18.537500381469727,312.3,0.4786500930786133
18.875,317.0,0.4833146929740906
19.200000762939453,321.9,0.4972187280654907
19.537500381469727,327.3,0.4993723928928375
19.887500762939453,333.1,0.5058988332748413
20.212499618530273,345.0,0.5126078724861145
20.5625,347.9,0.5239248871803284
20.912500381469727,349.1,0.5320127010345459
21.274999618530273,351.5,0.5392564535140991
21.637500762939453,356.0,0.5458624362945557
22.012500762939453,360.6,0.5517504811286926
22.350000381469727,366.4,0.5587432384490967
22.712499618530273,372.7,0.5668892860412598
23.0625,383.0,0.5822240710258484
23.424999237060547,386.8,0.5868123769760132
23.787500381469727,389.6,0.5911945104598999
24.149999618530273,392.0,0.5993334054946899
24.5,395.3,0.6074452996253967
24.862499237060547,399.3,0.6158071160316467
25.225000381469727,403.5,0.6208350658416748
25.575000762939453,408.5,0.6267076134681702
25.912500381469727,419.8,0.6390010118484497
26.25,425.5,0.640265703201294
26.625,430.7,0.6503592729568481
26.975000381469727,436.7,0.6558753252029419
27.3125,442.2,0.6675777435302734
27.674999237060547,446.5,0.6709448099136353
28.037500381469727,450.8,0.6792692542076111
28.387500762939453,458.5,0.689647912979126
28.737499237060547,462.5,0.6948550343513489
29.112499237060547,466.7,0.6997753977775574
29.462499618530273,470.3,0.7061954736709595
29.862499237060547,474.0,0.7156875133514404
30.25,477.7,0.7253465056419373
30.612499237060547,481.0,0.731959342956543
30.950000762939453,484.8,0.739906907081604
31.325000762939453,494.3,0.7445871233940125
31.6875,498.4,0.7549806237220764
32.04999923706055,501.6,0.7549294233322144
32.412498474121094,505.2,0.7649897933006287
32.76250076293945,508.6,0.7715436220169067
33.11249923706055,512.3,0.7786814570426941
33.474998474121094,516.6,0.7853434681892395
33.79999923706055,520.6,0.7868472933769226
34.150001525878906,528.1,0.8028417229652405
34.51250076293945,531.0,0.8045538067817688
34.88750076293945,533.8,0.8140699863433838
35.25,537.4,0.8228603005409241
35.625,541.5,0.8260000944137573
35.962501525878906,545.4,0.8340692520141602
36.32500076293945,549.0,0.8405023813247681
36.6875,552.3,0.8460378646850586
37.07500076293945,559.9,0.8520223498344421
37.412498474121094,564.0,0.8589736819267273
37.76250076293945,567.8,0.8665794134140015
38.125,571.2,0.8727117776870728
38.474998474121094,574.6,0.8795983195304871
38.8125,578.2,0.8833563327789307
39.17499923706055,581.7,0.8925628662109375
39.537498474121094,588.7,0.9000120162963867
39.88750076293945,592.1,0.905859112739563
40.25,595.5,0.9114262461662292
40.599998474121094,599.7,0.9183809757232666
40.95000076293945,603.7,0.9236806035041809
41.287498474121094,607.3,0.9308488368988037
41.650001525878906,610.5,0.9370267987251282
41.962501525878906,613.6,0.9438932538032532
42.3125,619.7,0.9486920833587646
42.6875,622.9,0.9586716294288635
43.037498474121094,626.0,0.9586711525917053
43.412498474121094,629.4,0.9677124619483948
43.75,632.6,0.9758115410804749
44.099998474121094,635.5,0.9809724688529968
44.45000076293945,638.0,0.9843296408653259
44.8125,640.2,0.9899137020111084
45.1875,643.0,0.997032880783081
45.537498474121094,645.6,1.0043491125106812
45.900001525878906,648.0,1.0087684392929077
46.25,650.2,1.0175752639770508
46.61249923706055,653.8,1.0208754539489746
46.95000076293945,657.6,1.0289663076400757
47.3125,661.8,1.0352939367294312
47.712501525878906,667.6,1.0311561822891235
