Commanded I,Weight,torque_real
0.9675967693328857,7.5,0.03190448880195618
1.2938793897628784,12.3,0.03284011781215668
1.6314131021499634,16.9,0.04856147617101669
1.968946933746338,21.8,0.06374090909957886
2.295229434967041,28.4,0.06381504237651825
2.6215121746063232,36.0,0.0749359056353569
2.9365437030792236,42.5,0.07646851986646652
3.2628262042999268,49.3,0.09312295913696289
3.5666067600250244,62.2,0.10491515696048737
3.8816380500793457,68.1,0.10728085041046143
4.196669578552246,73.5,0.12240728735923767
4.522952079772949,78.9,0.12640276551246643
4.83798360824585,84.9,0.13809479773044586
5.164266586303711,91.0,0.14133839309215546
5.490549087524414,96.7,0.1525907814502716
5.816831588745117,107.2,0.1639593094587326
6.14311408996582,112.8,0.17040596902370453
6.480648040771484,118.6,0.1834019124507904
6.784428596496582,124.2,0.1926061511039734
7.110711097717285,129.5,0.19846655428409576
7.4257426261901855,134.4,0.21096892654895782
7.763276100158691,138.7,0.21724793314933777
8.089558601379395,143.2,0.2267266809940338
8.415842056274414,154.1,0.23388861119747162
8.730873107910156,159.0,0.24175986647605896
9.045904159545898,163.5,0.2505201995372772
9.349684715270996,168.5,0.2569308876991272
9.664716720581055,173.8,0.27079716324806213
9.968497276306152,178.9,0.28056350350379944
10.249774932861328,184.0,0.28916943073272705
10.564806938171387,189.1,0.29152747988700867
10.902339935302734,197.9,0.2998519837856293
11.206120491027832,202.6,0.31148761510849
11.52115249633789,207.5,0.32289811968803406
11.858685493469238,211.9,0.3255656063556671
12.162466049194336,215.7,0.34201231598854065
12.488748550415039,220.1,0.34783706068992615
12.803780555725098,225.4,0.35966458916664124
13.107561111450195,236.8,0.3671226501464844
13.388838768005371,241.4,0.3677421510219574
13.726372718811035,245.4,0.3800034523010254
14.041403770446777,249.2,0.39435911178588867
14.367687225341797,253.6,0.3990981876850128
14.682718276977539,258.2,0.41074320673942566
14.975247383117676,262.7,0.42008697986602783
15.31278133392334,268.1,0.425270676612854
15.616561889648438,279.8,0.438161164522171
15.94284439086914,283.9,0.44895896315574646
16.257875442504883,289.3,0.4518432021141052
16.584157943725586,293.8,0.4657690227031708
16.91044044494629,298.3,0.4759519398212433
17.247974395751953,302.9,0.4832201302051544
17.585508346557617,308.3,0.49172767996788025
17.92304229736328,312.8,0.5021094679832458
18.238073348999023,323.1,0.5079256296157837
18.541854858398438,328.6,0.5151886940002441
18.85688591003418,332.9,0.5259913802146912
19.171916961669922,336.5,0.5257863402366638
19.475698471069336,340.6,0.5376124382019043
19.790729522705078,344.2,0.5531925559043884
20.09450912475586,348.0,0.5575519800186157
20.4095401763916,352.7,0.5727130770683289
20.724573135375977,362.2,0.57977294921875
21.05085563659668,366.6,0.5884794592857361
21.3433837890625,370.8,0.5953426361083984
21.647165298461914,374.9,0.6024124026298523
21.973447799682617,379.2,0.6154679656028748
22.265975952148438,382.8,0.6212971806526184
22.581008911132812,386.4,0.6283652782440186
22.918540954589844,395.7,0.6403882503509521
23.23357391357422,400.1,0.6501832008361816
23.54860496520996,403.1,0.6555893421173096
23.874887466430664,406.2,0.6663923263549805
24.212421417236328,410.8,0.6742895841598511
24.52745246887207,416.6,0.6850864291191101
24.819982528686523,421.9,0.6948363184928894
25.135013580322266,426.7,0.704990029335022
25.438793182373047,433.9,0.7087723016738892
25.76507568359375,437.4,0.7162861824035645
26.080108642578125,441.7,0.7241806387901306
26.406391143798828,446.1,0.7385433316230774
26.73267364501953,450.1,0.7432794570922852
27.058956146240234,454.5,0.7530223727226257
27.3964900970459,459.2,0.7650143504142761
27.70026969909668,463.6,0.774220883846283
28.026552200317383,471.8,0.7796186804771423
28.352834701538086,475.7,0.7906907796859741
28.67911720275879,480.1,0.8023993968963623
28.994150161743164,484.1,0.8000430464744568
29.320432662963867,488.4,0.8141214847564697
29.62421226501465,492.7,0.8274214267730713
29.93924331665039,496.5,0.834935188293457
30.254276275634766,504.9,0.8425598740577698
30.546804428100586,508.9,0.8509911894798279
30.828083038330078,512.2,0.8583636283874512
31.14311408996582,515.5,0.8666484355926514
31.446895599365234,519.3,0.8743405342102051
31.773178100585938,523.3,0.8860212564468384
32.08820724487305,527.0,0.8890302181243896
