torque,position,velocity,commanded torque,time interval
0.0,-30.748306274414062,-0.01937541551887989,0.0,0.0006480216979980469
0.0,-30.748245239257812,0.018625542521476746,0.003926829327955169,0.017198801040649414
0.0,-30.748291015625,-0.01294988114386797,0.007852689769532073,0.003240346908569336
0.0,-30.748291015625,-0.017794128507375717,0.011776612677410665,0.003329753875732422
0.011704305186867714,-30.748336791992188,-0.013909959234297276,0.015697629882328343,0.003729104995727539
0.014941973611712456,-30.748458862304688,-0.036957766860723495,0.019614773931961236,0.003965854644775391
0.015904422849416733,-30.748611450195312,-0.040703918784856796,0.023527078329628578,0.003991127014160156
0.020562052726745605,-30.748870849609375,-0.08076934516429901,0.027433577772761317,0.00347900390625
0.025649145245552063,-30.749404907226562,-0.15153168141841888,0.031333308391076065,0.0035619735717773438
0.029849927872419357,-30.7498779296875,-0.13906973600387573,0.035225307984395667,0.003991127014160156
0.026289237663149834,-30.750518798828125,-0.15635718405246735,0.03910861626005772,0.00397181510925293
0.03540181741118431,-30.751113891601562,-0.17654363811016083,0.04298227506985238,0.004014015197753906
0.05162990093231201,-30.751785278320312,-0.1634102314710617,0.04684532864643115,0.0039060115814208984
0.045398034155368805,-30.752593994140625,-0.20027542114257812,0.05069682383912812,0.004099845886230469
0.05205141007900238,-30.753311157226562,-0.23182575404644012,0.054535810349135634,0.0034241676330566406
0.05443301424384117,-30.753952026367188,-0.1568717360496521,0.05836134096397634,0.0035691261291503906
0.06093438342213631,-30.754653930664062,-0.1906684935092926,0.0621724717912137,0.004259824752807617
0.05967177450656891,-30.755294799804688,-0.17747235298156738,0.06596826249134323,0.0037670135498046875
0.0649905875325203,-30.756027221679688,-0.20171861350536346,0.06974777650980732,0.004107952117919922
0.07329315692186356,-30.756927490234375,-0.21946418285369873,0.07351008130807599,0.0036270618438720703
0.07432643324136734,-30.758087158203125,-0.3369433879852295,0.07725424859373685,0.0034868717193603516
0.07570622116327286,-30.759506225585938,-0.4420735538005829,0.08097935454953735,0.0035991668701171875
0.08243951946496964,-30.76129150390625,-0.5101377367973328,0.08468448006132284,0.0036389827728271484
0.08205755054950714,-30.763290405273438,-0.5437086820602417,0.08836871094481427,0.003771066665649414
0.08311248570680618,-30.765960693359375,-0.7370392680168152,0.09203113817116948,0.003631114959716797
0.09069771319627762,-30.76885986328125,-0.8550392389297485,0.09567085809127245,0.0035767555236816406
0.09557085484266281,-30.77227783203125,-0.934874951839447,0.09928697265869516,0.0035712718963623047
0.09635695070028305,-30.775802612304688,-0.9949004054069519,0.10287858965127719,0.003699779510498047
0.10477367043495178,-30.7796630859375,-1.095155119895935,0.10644482289126816,0.0035250186920166016
0.10434339195489883,-30.78363037109375,-1.1138925552368164,0.10998479246397878,0.003593921661376953
0.10559509694576263,-30.787857055664062,-1.116998314857483,0.11349762493488669,0.0036630630493164062
0.11059579253196716,-30.792556762695312,-1.0746866464614868,0.11698245356514334,0.004279136657714844
0.11899922043085098,-30.796951293945312,-0.9912740588188171,0.12043841852542883,0.004183769226074219
0.11802858114242554,-30.802200317382812,-0.9592214822769165,0.1238646671081019,0.0047571659088134766
0.11945274472236633,-30.805999755859375,-1.0378779172897339,0.12726035393759283,0.004870891571044922
0.12717486917972565,-30.81011962890625,-1.0242047309875488,0.1306246411789872,0.0037131309509277344
0.12967538833618164,-30.81512451171875,-1.0470446348190308,0.13395669874474916,0.004665851593017578
0.1329038143157959,-30.819778442382812,-1.0594998598098755,0.13725570449953295,0.00439906120300293
0.13811159133911133,-30.824264526367188,-1.1206938028335571,0.14052084446303265,0.00400996208190918
0.13827809691429138,-30.828994750976562,-1.2006107568740845,0.14375131301081964,0.0040819644927978516
0.13675455749034882,-30.8343505859375,-1.3205623626708984,0.14694631307311828,0.003940105438232422
0.15060248970985413,-30.840103149414062,-1.451256275177002,0.15010505633147098,0.004143953323364258
0.14658305048942566,-30.846389770507812,-1.5575224161148071,0.15322676341324412,0.0037751197814941406
0.1506558209657669,-30.853424072265625,-1.7493585348129272,0.15631066408392627,0.0040247440338134766
0.14941726624965668,-30.860458374023438,-1.8705523014068604,0.1593559974371724,0.004039287567138672
0.16124369204044342,-30.867172241210938,-1.8410598039627075,0.16236201208254591,0.003640890121459961
0.1628214567899704,-30.873748779296875,-1.821482539176941,0.16532796633091296,0.003573894500732422
0.15676510334014893,-30.880538940429688,-1.909927487373352,0.16825312837744333,0.003493070602416992
0.16685794293880463,-30.887863159179688,-2.1185238361358643,0.17113677648217215,0.0034210681915283203
0.1689242571592331,-30.895782470703125,-2.2822670936584473,0.17397819914807858,0.003468036651611328
0.1636149287223816,-30.904556274414062,-2.433750629425049,0.17677669529663687,0.003451824188232422
0.17173056304454803,-30.91387939453125,-2.674330949783325,0.1795315744407972,0.0034911632537841797
0.18151938915252686,-30.923858642578125,-2.8863351345062256,0.1822421568553529,0.00339508056640625
0.17054477334022522,-30.934539794921875,-3.033846855163574,0.18490777374465245,0.0035758018493652344
0.18808574974536896,-30.945587158203125,-3.1926965713500977,0.1875277674076149,0.003445863723754883
0.18117304146289825,-30.95721435546875,-3.398073673248291,0.19010149140000773,0.003467082977294922
0.19029569625854492,-30.96917724609375,-3.5340449810028076,0.1926283106939473,0.003367185592651367
0.19408825039863586,-30.98260498046875,-3.8386669158935547,0.19510760183458242,0.00345611572265625
0.20112022757530212,-30.9957275390625,-3.7813565731048584,0.1975387530939226,0.003451824188232422
0.2016930878162384,-31.009445190429688,-3.9761178493499756,0.19992116462177262,0.003434896469116211
